symbol,n,min_diff,m_hours,subperiod,n_obs,n_eff,mean_fade,std_fade,t_stat_raw,t_stat_adj,mean_mae
BTC-USDT-SWAP,2,0.005,1,0,11978,5369,-0.00010987706764008005,0.01148203625810709,-1.0473221799664028,-0.7011886031683555,0.007512217481634955
BTC-USDT-SWAP,2,0.005,1,1,16010,6612,-5.0896730359253885e-05,0.009643839945827674,-0.6677833028610567,-0.42914722868907335,0.007003109452674689
BTC-USDT-SWAP,2,0.005,1,2,9750,4757,-5.30125104273037e-05,0.008671851898782359,-0.6036272351303906,-0.4216315436164672,0.0060277156064476
BTC-USDT-SWAP,2,0.005,1,3,7169,3975,-4.81454873160405e-05,0.006695885299030695,-0.6088031229054625,-0.45333176149261917,0.004793047152528348
BTC-USDT-SWAP,2,0.005,1,all,44907,20712,-6.6648654875174e-05,0.009581324599706292,-1.4740861193857346,-1.0010985996382469,0.006574313704582472
BTC-USDT-SWAP,2,0.005,2,0,11978,3389,-0.0001545824206701464,0.015532082339912176,-1.0892374731164742,-0.5793836081487311,0.010654820143690074
BTC-USDT-SWAP,2,0.005,2,1,16010,3959,-2.8211753664773667e-05,0.013318224047764029,-0.2680275474581691,-0.13328353948273672,0.009979988644365138
BTC-USDT-SWAP,2,0.005,2,2,9750,3111,-6.776549766500237e-05,0.01202257286189212,-0.55656196309755,-0.31438456796212433,0.008518913034900868
BTC-USDT-SWAP,2,0.005,2,3,7169,2735,-7.200776716439421e-07,0.008974526779861025,-0.006793554703049523,-0.0041961060127777665,0.006761005696615972
BTC-USDT-SWAP,2,0.005,2,all,44907,13193,-6.611740374600462e-05,0.013107896578811978,-1.0689067191561574,-0.5793680832526441,0.009328882040811655
BTC-USDT-SWAP,2,0.005,4,0,11978,1990,-3.78579113606982e-05,0.021827388229275168,-0.18982221264533544,-0.07737157101882257,0.015121233219166193
BTC-USDT-SWAP,2,0.005,4,1,16010,2214,-1.2192765616386793e-05,0.018618481044857298,-0.08286166284746467,-0.030813908361886383,0.014219351576851901
BTC-USDT-SWAP,2,0.005,4,2,9750,1873,-5.7727558240107926e-05,0.0163693894209372,-0.34821944215329553,-0.15262286307225287,0.011935056342568683
BTC-USDT-SWAP,2,0.005,4,3,7168,1705,-6.940813799993984e-06,0.012294315459441657,-0.04779748434930305,-0.023311393371731583,0.009521117806658957
BTC-USDT-SWAP,2,0.005,4,all,44906,7782,-2.8086752014345623e-05,0.01824706905828686,-0.32618244973065097,-0.13578569431407414,0.013214005300466479
BTC-USDT-SWAP,2,0.005,6,0,11978,1414,-0.0001196120771743484,0.0258840834363566,-0.5057482581187235,-0.173766857045054,0.01835787152882349
BTC-USDT-SWAP,2,0.005,6,1,16010,1533,-8.813322053769773e-05,0.022209850013719636,-0.5020993747087272,-0.15536925811381766,0.017425228727830037
BTC-USDT-SWAP,2,0.005,6,2,9750,1360,1.4512791615302227e-05,0.01945604455233497,0.07365440324560242,0.027508433615433613,0.014496746638107428
BTC-USDT-SWAP,2,0.005,6,3,7167,1261,3.052469175717436e-05,0.014652126380949785,0.1763678145119142,0.07397895193949991,0.011559648910880174
BTC-USDT-SWAP,2,0.005,6,all,44905,5568,-5.5304668458524005e-05,0.021702778793848205,-0.5400000495089831,-0.19014988302393016,0.016101988210012966
BTC-USDT-SWAP,2,0.005,8,0,11978,1105,-4.268105326091737e-05,0.029681856152282863,-0.1573751751742632,-0.04779970443110335,0.021129042580397994
BTC-USDT-SWAP,2,0.005,8,1,16010,1177,-2.0065180766861137e-05,0.025232588438543223,-0.10061829144702403,-0.0272815790755615,0.020024268609103016
BTC-USDT-SWAP,2,0.005,8,2,9750,1066,-2.283269816810256e-05,0.021587438960655944,-0.10443796980909731,-0.03453303234302611,0.0165545828369086
BTC-USDT-SWAP,2,0.005,8,3,7165,998,-1.4806002749044324e-05,0.01660746876607629,-0.07546446173785022,-0.02816434476741162,0.013215080314867844
BTC-USDT-SWAP,2,0.005,8,all,44903,4346,-2.5859764756756075e-05,0.02464104809233226,-0.22238376171704313,-0.06918473065044187,0.018479064774639408
BTC-USDT-SWAP,2,0.005,10,0,11978,900,-0.00013421735280328963,0.031856108441413136,-0.4611137813265874,-0.12639712699069633,0.023592506326829427
BTC-USDT-SWAP,2,0.005,10,1,16010,952,-2.8840756366073203e-05,0.028270509551426473,-0.12908288860636552,-0.03147686588771982,0.02241171462349196
BTC-USDT-SWAP,2,0.005,10,2,9750,875,-2.565035453770872e-05,0.023928254186144287,-0.1058484899377117,-0.03170928031969566,0.018303702217467046
BTC-USDT-SWAP,2,0.005,10,3,7161,826,3.190855282403756e-06,0.01809790338498863,0.014919891990272096,0.00506720956661047,0.014519846646221172
BTC-USDT-SWAP,2,0.005,10,all,44899,3553,-5.1151188297378576e-05,0.027060012006910994,-0.4005401688266829,-0.1126744238632093,0.02057596628786304
BTC-USDT-SWAP,2,0.005,12,0,11978,763,-6.272866106284146e-05,0.0345865709434726,-0.1984955000590682,-0.05009804520035893,0.025804977750317672
BTC-USDT-SWAP,2,0.005,12,1,16010,802,-2.381763932240502e-05,0.03081240535076326,-0.09780673866192555,-0.02189073259490433,0.02444188062017264
